Sector,Year,Industry,Industry price change %,Max increase ticker (increase %),Max volume ticker (volume)
BASIC INDUSTRIES,1980,SPECIALTY CHEMICALS,217.67,CSL (304.82),CSL (48204800)
BASIC INDUSTRIES,1980,HOMEBUILDING,200.0,LEN (200.0),LEN (40275900)
BASIC INDUSTRIES,1988,METAL FABRICATIONS,188.89,FSTR (188.89),FSTR (12729600)
BASIC INDUSTRIES,2003,ELECTRIC UTILITIES: CENTRAL,169.65,AES (191.36),AES (702260400)
BASIC INDUSTRIES,2009,HOMEBUILDING,158.48,GFA (224.9),LEN (1851802600)
BASIC INDUSTRIES,2009,PAPER,153.94,CLW (463.79),IP (2016473200)
BASIC INDUSTRIES,1991,SPECIALTY CHEMICALS,150.0,VERU (340.0),CSL (19294400)
BASIC INDUSTRIES,1980,MILITARY/GOVERNMENT/TECHNICAL,134.82,JEC (134.82),JEC (37752000)
BASIC INDUSTRIES,2001,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,133.33,TPC (133.33),TPC (3682700)
BASIC INDUSTRIES,1991,WATER SUPPLY,133.08,AEGN (448.28),AEGN (20081400)
BASIC INDUSTRIES,1991,ENGINEERING & CONSTRUCTION,131.82,MTRX (131.82),MTRX (29526600)
BASIC INDUSTRIES,2000,HOMEBUILDING,127.45,LEN (127.45),LEN (192296700)
BASIC INDUSTRIES,1985,WATER SUPPLY,125.95,AEGN (315.0),MTZ (17713700)
BASIC INDUSTRIES,1991,HOMEBUILDING,121.21,LEN (121.21),LEN (31114800)
BASIC INDUSTRIES,2007,ENGINEERING & CONSTRUCTION,114.55,BLD (942.22),MTRX (109915400)
BASIC INDUSTRIES,1999,ALUMINUM,113.12,AA (125.91),AA (410851500)
BASIC INDUSTRIES,1996,METAL FABRICATIONS,106.93,ZEUS (185.92),ZEUS (38097200)
BASIC INDUSTRIES,2003,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS,105.62,TPC (105.62),TPC (6141200)
