Tickers                       	Years                         	Percent Changes               
GOOG,GOOGL                    	2004, 2005, 2006              	92.14%, 104.66%, 5.8%         
GOOG,GOOGL                    	2005, 2006, 2007              	104.66%, 5.8%, 47.88%         
GOOG,GOOGL                    	2006, 2007, 2008              	5.8%, 47.88%, -55.1%          
GOOG,GOOGL                    	2007, 2008, 2009              	47.88%, -55.1%, 92.95%        
GOOG,GOOGL                    	2008, 2009, 2010              	-55.1%, 92.95%, -5.23%        
GOOG,GOOGL                    	2009, 2010, 2011              	92.95%, -5.23%, 6.88%         
GOOG,GOOGL                    	2010, 2011, 2012              	-5.23%, 6.88%, 6.31%          
GOOG,GOOGL                    	2011, 2012, 2013              	6.88%, 6.31%, 54.95%          
MSG,MSGN                      	2010, 2011, 2012              	18.58%, 11.74%, 56.99%        
MSG,MSGN                      	2011, 2012, 2013              	11.74%, 56.99%, 26.83%        
MSG,MSGN                      	2012, 2013, 2014              	56.99%, 26.83%, 30.96%        
GCI,TGNA                      	2000, 2001, 2002              	-19.86%, 8.65%, 4.13%         
GCI,TGNA                      	2001, 2002, 2003              	8.65%, 4.13%, 20.98%          
GCI,TGNA                      	2002, 2003, 2004              	4.13%, 20.98%, -7.86%         
GCI,TGNA                      	2003, 2004, 2005              	20.98%, -7.86%, -25.41%       
GCI,TGNA                      	2004, 2005, 2006              	-7.86%, -25.41%, -2.53%       
GCI,TGNA                      	2005, 2006, 2007              	-25.41%, -2.53%, -35.01%      
GCI,TGNA                      	2006, 2007, 2008              	-2.53%, -35.01%, -78.77%      
GCI,TGNA                      	2007, 2008, 2009              	-35.01%, -78.77%, 73.08%      
GCI,TGNA                      	2008, 2009, 2010              	-78.77%, 73.08%, -1.69%       
GCI,TGNA                      	2009, 2010, 2011              	73.08%, -1.69%, -13.29%       
GCI,TGNA                      	2010, 2011, 2012              	-1.69%, -13.29%, 30.41%       
GCI,TGNA                      	2011, 2012, 2013              	-13.29%, 30.41%, 59.98%       
GCI,TGNA                      	2012, 2013, 2014              	30.41%, 59.98%, 7.94%         
APTV,DLPH                     	2011, 2012, 2013              	0.98%, 71.99%, 54.66%         
APTV,DLPH                     	2012, 2013, 2014              	71.99%, 54.66%, 22.38%        
APTV,DLPH                     	2013, 2014, 2015              	54.66%, 22.38%, 18.1%         
APTV,DLPH                     	2014, 2015, 2016              	22.38%, 18.1%, -19.81%        
AA,ARNC                       	2002, 2003, 2004              	-36.15%, 61.36%, -16.35%      
AA,ARNC                       	2003, 2004, 2005              	61.36%, -16.35%, -4.58%       
AA,ARNC                       	2004, 2005, 2006              	-16.35%, -4.58%, 0.37%        
AA,ARNC                       	2005, 2006, 2007              	-4.58%, 0.37%, 24.62%         
AA,ARNC                       	2006, 2007, 2008              	0.37%, 24.62%, -68.83%        
AA,ARNC                       	2007, 2008, 2009              	24.62%, -68.83%, 33.11%       
AA,ARNC                       	2008, 2009, 2010              	-68.83%, 33.11%, -7.57%       
AA,ARNC                       	2009, 2010, 2011              	33.11%, -7.57%, -45.25%       
AA,ARNC                       	2010, 2011, 2012              	-7.57%, -45.25%, -5.96%       
AA,ARNC                       	2011, 2012, 2013              	-45.25%, -5.96%, 18.24%       
AA,ARNC                       	2012, 2013, 2014              	-5.96%, 18.24%, 49.95%        
AA,ARNC                       	2013, 2014, 2015              	18.24%, 49.95%, -37.85%       
SPB,HRG                       	2000, 2001, 2002              	-67.53%, 71.85%, 11.9%        
SPB,HRG                       	2001, 2002, 2003              	71.85%, 11.9%, 88.89%         
SPB,HRG                       	2002, 2003, 2004              	11.9%, 88.89%, 6.39%          
SPB,HRG                       	2003, 2004, 2005              	88.89%, 6.39%, -24.08%        
SPB,HRG                       	2004, 2005, 2006              	6.39%, -24.08%, 20.27%        
SPB,HRG                       	2005, 2006, 2007              	-24.08%, 20.27%, 5.48%        
